classifier,budget_pct,strategy,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Logistic Regression,0.8,Margin Sampling,0.18757971852014005,0.0032015631771970567,0.18960232772424676,0.004674755607530001,0.0020226092041067123,1.0782664672191353,9.0,0.40625,0.28,klein,5,1.0,False
Logistic Regression,0.8,Least Confidence,0.18757971852014005,0.0032015631771970567,0.19257716835808958,0.007880216054881128,0.00499744983794953,2.664173865583962,12.0,0.15625,0.36,mittel,5,1.0,False
Logistic Regression,1.0,Entropy Sampling,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,vernachlässigbar,5,1.0,False
Logistic Regression,1.0,Margin Sampling,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,vernachlässigbar,5,1.0,False
Logistic Regression,1.0,Least Confidence,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,vernachlässigbar,5,1.0,False
SVM,0.2,Entropy Sampling,0.1629241190302594,0.010541679824615088,0.16046634887979078,0.01464758717393223,-0.0024577701504686356,-1.5085367133470038,8.0,0.5,-0.04,vernachlässigbar,5,1.0,False
SVM,0.2,Margin Sampling,0.1629241190302594,0.010541679824615088,0.1594933881658236,0.019080656625509375,-0.0034307308644358214,-2.1057231334782553,8.0,0.5,-0.12,vernachlässigbar,5,1.0,False
SVM,0.2,Least Confidence,0.1629241190302594,0.010541679824615088,0.1630958796329532,0.016378390505533105,0.0001717606026937768,0.10542368049378632,9.0,0.40625,-0.12,vernachlässigbar,5,1.0,False
SVM,0.4,Entropy Sampling,0.17991550316240063,0.0036708854939055463,0.17416818917928872,0.008873054632088817,-0.005747313983111901,-3.1944517743554828,3.0,0.90625,-0.44,mittel,5,1.0,False
SVM,0.4,Margin Sampling,0.17991550316240063,0.0036708854939055463,0.17055907561077296,0.008343606584929338,-0.00935642755162766,-5.2004565405250744,0.0,1.0,-0.76,groß,5,1.0,False
