strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Least Confidence,0.4,3,24000,0.924,0.923427552468009,1.0185682215589158,3.1546230011797967
Least Confidence,0.4,4,24000,0.9247,0.9240830771114638,1.0170113380919112,3.154910295567614
Least Confidence,0.6,0,36000,0.9263,0.9258663835947513,0.8899013223782392,4.719349008210948
Least Confidence,0.6,1,36000,0.9267,0.925981092824558,0.8892176117695553,4.721554813250689
Least Confidence,0.6,2,36000,0.9254,0.924700038642697,0.8880229600718323,4.72361915212282
Least Confidence,0.6,3,36000,0.9293,0.9289366152216536,0.8914934413533815,4.723466503788048
Least Confidence,0.6,4,36000,0.9274,0.92674414976014,0.8901929956086925,4.722391434118781
Least Confidence,0.8,0,48000,0.9288,0.928341982311877,0.7624141366858231,6.290463123823467
Least Confidence,0.8,1,48000,0.9289,0.928508617678391,0.7624279097506874,6.2895220756530765
Least Confidence,0.8,2,48000,0.9298,0.9294368500302452,0.7622739390323037,6.288772334550556
Least Confidence,0.8,3,48000,0.9265,0.9260435969066443,0.763853655363384,6.292358554036993
Least Confidence,0.8,4,48000,0.9299,0.9296390482733703,0.7621776354940314,6.290810670350727
Least Confidence,1.0,0,60000,0.9289,0.9286379348902806,0.6355890887124198,7.862094091768024
Least Confidence,1.0,1,60000,0.9293,0.9289322371732778,0.6341021842315417,7.861531243604772
Least Confidence,1.0,2,60000,0.9313,0.9309739452775265,0.6371778900883779,7.856163269331475
Least Confidence,1.0,3,60000,0.9284,0.9282090088457071,0.6360706060874362,7.856267458250542
Least Confidence,1.0,4,60000,0.9313,0.9309923192329499,0.635499801956305,7.854389507229588
